path,category,extension,size,status,references,notes
backend/app/routers/backtesting.py,Code,.py,10030,current,5,
backend/app/routers/claude.py,Code,.py,3642,current,5,
backend/app/routers/health.py,Code,.py,1772,current,4,
backend/app/routers/market.py,Code,.py,23196,current,6,
backend/app/routers/market_data.py,Code,.py,9784,current,1,
backend/app/routers/ml.py,Code,.py,9058,current,6,
backend/app/routers/monitor.py,Code,.py,11316,current,4,
backend/app/routers/news.py,Code,.py,10635,current,6,
backend/app/routers/options.py,Code,.py,19127,current,6,
backend/app/routers/orders.py,Code,.py,22387,current,6,
backend/app/routers/portfolio.py,Code,.py,3593,current,6,
backend/app/routers/positions.py,Code,.py,3328,current,6,
backend/app/routers/proposals.py,Code,.py,5035,current,2,
backend/app/routers/scheduler.py,Code,.py,16566,current,6,
backend/app/routers/screening.py,Code,.py,13787,current,2,
backend/app/routers/settings.py,Code,.py,2279,current,6,
backend/app/routers/stock.py,Code,.py,7645,current,7,
backend/app/routers/strategies.py,Code,.py,18147,current,8,
backend/app/routers/stream.py,Code,.py,14750,current,6,
backend/app/routers/telemetry.py,Code,.py,5695,current,4,
backend/app/routers/users.py,Code,.py,7685,current,7,
backend/app/scheduler.py,Code,.py,16917,current,6,
backend/app/services/__init__.py,Code,.py,220,current,2,
backend/app/services/alert_manager.py,Code,.py,9109,current,3,
backend/app/services/alerts.py,Code,.py,3035,current,6,
backend/app/services/alpaca_client.py,Code,.py,10913,current,3,
backend/app/services/alpaca_options.py,Code,.py,13282,current,3,
backend/app/services/backtesting_engine.py,Code,.py,16432,current,2,
backend/app/services/cache.py,Code,.py,5351,current,4,
backend/app/services/counter_manager.py,Code,.py,12283,current,3,
backend/app/services/equity_tracker.py,Code,.py,7647,current,3,
backend/app/services/fixture_loader.py,Code,.py,16384,current,3,
backend/app/services/github_monitor.py,Code,.py,16363,current,2,
backend/app/services/greeks.py,Code,.py,3067,current,7,
backend/app/services/health_monitor.py,Code,.py,4635,current,3,
backend/app/services/historical_data.py,Code,.py,3795,current,2,
backend/app/services/news/__init__.py,Code,.py,29,current,2,
backend/app/services/news/alpha_vantage_provider.py,Code,.py,3203,current,2,
backend/app/services/news/base_provider.py,Code,.py,1708,current,2,
backend/app/services/news/finnhub_provider.py,Code,.py,2413,current,2,
backend/app/services/news/news_aggregator.py,Code,.py,15591,current,2,
backend/app/services/news/news_cache.py,Code,.py,9022,current,3,
backend/app/services/news/polygon_provider.py,Code,.py,2590,current,2,
backend/app/services/options_greeks.py,Code,.py,11965,current,2,
backend/app/services/order_execution.py,Code,.py,10439,current,4,
backend/app/services/position_tracker.py,Code,.py,7961,current,2,
backend/app/services/strategy_templates.py,Code,.py,13197,current,4,
backend/app/services/technical_indicators.py,Code,.py,14581,current,2,
backend/app/services/tradier_client.py,Code,.py,12263,current,3,
backend/app/services/tradier_stream.py,Code,.py,21256,current,3,
backend/data/equity/equity_history.json,Code,.json,2103,current,2,
backend/render.yaml,Code,.yaml,2041,current,2,
backend/scripts/cleanup.sh,Code,.sh,11045,current,3,
backend/scripts/process-manager.sh,Code,.sh,9673,current,4,
backend/scripts/start-server.sh,Code,.sh,2215,current,2,
backend/start.sh,Code,.sh,5451,current,4,
backend/strategies/__init__.py,Code,.py,269,current,2,
backend/strategies/under4_multileg.py,Code,.py,8688,current,2,
backend/tests/__init__.py,Code,.py,0,current,2,
backend/tests/conftest.py,Code,.py,9702,current,3,
backend/tests/test_health.py,Code,.py,182,current,1,
backend/tests/test_market.py,Code,.py,10072,current,1,
db/schemas/strategies.sql,Code,.sql,9598,current,2,
deploy.ps1,Code,.ps1,13388,current,2,
deploy.sh,Code,.sh,13273,current,2,
frontend/.eslintrc.json,Code,.json,1772,current,1,
frontend/commitlint.config.js,Code,.js,809,current,1,
frontend/components/AIAnalysisModal.tsx,Code,.tsx,34526,current,3,
frontend/components/AIChat.tsx,Code,.tsx,7915,current,3,
frontend/components/AIChatBot.tsx,Code,.tsx,8164,current,3,
frontend/components/AIRecommendations.tsx,Code,.tsx,44703,current,3,
frontend/components/ActivePositions.tsx,Code,.tsx,41265,current,2,
frontend/components/Analytics.tsx,Code,.tsx,41247,current,4,
frontend/components/ApprovalQueue.tsx,Code,.tsx,15163,current,3,
frontend/components/Backtesting.tsx,Code,.tsx,20729,current,4,
frontend/components/ChatContext.tsx,Code,.tsx,947,current,3,
frontend/components/CompletePaiiDLogo.tsx,Code,.tsx,28017,current,3,
frontend/components/ConfirmDialog.tsx,Code,.tsx,5211,current,3,
frontend/components/ErrorBoundary.tsx,Code,.tsx,7211,current,3,
frontend/components/ExecuteTradeForm.tsx,Code,.tsx,66274,current,3,
frontend/components/GlassmorphicComponents.tsx,Code,.tsx,5949,current,3,
frontend/components/KeyboardShortcuts.tsx,Code,.tsx,8763,current,3,
frontend/components/KillSwitchToggle.tsx,Code,.tsx,9166,current,3,
frontend/components/MarketScanner.tsx,Code,.tsx,22377,current,3,
frontend/components/MorningRoutineAI.tsx,Code,.tsx,55913,current,3,
frontend/components/NewsReview.tsx,Code,.tsx,41731,current,3,
frontend/components/OptionsGreeksDisplay.tsx,Code,.tsx,11866,current,3,
frontend/components/OrderHistory.tsx,Code,.tsx,10257,current,3,
frontend/components/PositionsTable.tsx,Code,.tsx,18114,current,3,
frontend/components/RadialMenu.tsx,Code,.tsx,35148,current,5,
frontend/components/ResearchDashboardSimple.tsx,Code,.tsx,12411,current,3,
frontend/components/RiskDashboard.tsx,Code,.tsx,22990,current,3,
frontend/components/SchedulerSettings.tsx,Code,.tsx,21495,current,3,
frontend/components/Settings.tsx,Code,.tsx,57016,current,4,
frontend/components/StockLookup.tsx,Code,.tsx,17522,current,4,
frontend/components/StrategyBuilderAI.tsx,Code,.tsx,48334,current,4,
frontend/components/TelemetryProvider.tsx,Code,.tsx,2864,current,3,
frontend/components/TemplateCustomizationModal.tsx,Code,.tsx,19856,current,4,
frontend/components/TradingJournal.tsx,Code,.tsx,18213,current,4,
frontend/components/TradingViewChart.tsx,Code,.tsx,10500,current,3,
frontend/components/UserSetup.tsx,Code,.tsx,58764,current,5,
frontend/components/UserSetupAI.tsx,Code,.tsx,42152,current,4,
frontend/components/auth/AuthModal.tsx,Code,.tsx,4863,current,3,
frontend/components/auth/LoginForm.tsx,Code,.tsx,5105,current,3,
frontend/components/auth/RegisterForm.tsx,Code,.tsx,10555,current,3,
frontend/components/trading/OptionsChain.tsx,Code,.tsx,17142,current,4,
frontend/components/trading/PLComparisonChart.tsx,Code,.tsx,15074,current,4,
frontend/components/trading/PLSummaryDashboard.tsx,Code,.tsx,11465,current,4,
frontend/components/trading/PositionManager.tsx,Code,.tsx,7602,current,3,
frontend/components/trading/ProposalReview.tsx,Code,.tsx,20139,current,4,
frontend/components/trading/ResearchDashboard.tsx,Code,.tsx,44211,current,3,
frontend/components/trading/RiskCalculator.tsx,Code,.tsx,13207,current,3,
frontend/components/trading/StrategyBuilder.tsx,Code,.tsx,47858,current,4,
frontend/components/trading/StrategySuggestionsModal.tsx,Code,.tsx,9626,current,4,
frontend/components/ui/Button.tsx,Code,.tsx,2133,current,2,
frontend/components/ui/Card.tsx,Code,.tsx,785,current,6,
frontend/components/ui/Input.tsx,Code,.tsx,1760,current,3,
frontend/components/ui/Select.tsx,Code,.tsx,2020,current,4,
frontend/components/ui/Skeleton.tsx,Code,.tsx,967,current,3,
frontend/components/ui/index.ts,Code,.ts,138,current,7,
frontend/components/workflows/MorningRoutine/MarketAlerts.tsx,Code,.tsx,10077,current,3,
frontend/components/workflows/MorningRoutine/MarketStatus.tsx,Code,.tsx,6355,current,4,
frontend/components/workflows/MorningRoutine/PortfolioSummary.tsx,Code,.tsx,6141,current,4,
frontend/components/workflows/MorningRoutine/PreMarketMovers.tsx,Code,.tsx,9645,current,3,
frontend/components/workflows/MorningRoutine/TodaySchedule.tsx,Code,.tsx,8305,current,4,
frontend/components/workflows/MorningRoutine/index.tsx,Code,.tsx,4695,current,7,
frontend/contexts/AuthContext.tsx,Code,.tsx,6315,current,3,
frontend/contexts/GlowStyleContext.tsx,Code,.tsx,1286,current,3,
frontend/contexts/WorkflowContext.tsx,Code,.tsx,3519,current,3,
frontend/hooks/useAuth.ts,Code,.ts,397,current,3,
frontend/hooks/useBreakpoint.ts,Code,.ts,2824,current,3,
frontend/hooks/useMarketStream.ts,Code,.ts,10290,current,3,
frontend/hooks/usePositionUpdates.ts,Code,.ts,9267,current,3,
frontend/jest.config.js,Code,.js,699,current,2,
frontend/lib/aiAdapter.ts,Code,.ts,9761,current,3,
frontend/lib/alpaca.ts,Code,.ts,12497,current,4,
frontend/lib/api.ts,Code,.ts,1379,current,7,
frontend/lib/authApi.ts,Code,.ts,4501,current,3,
frontend/lib/logger.ts,Code,.ts,2397,current,4,
frontend/lib/marketData.ts,Code,.ts,1861,current,4,
frontend/lib/sentry.ts,Code,.ts,4692,current,5,
frontend/lib/toast.ts,Code,.ts,1900,current,3,
frontend/lib/tradeHistory.ts,Code,.ts,8172,current,1,
frontend/lib/userManagement.ts,Code,.ts,9556,current,3,
frontend/middleware.ts,Code,.ts,1467,current,1,
frontend/next-env.d.ts,Code,.ts,235,current,2,
frontend/package.json,Code,.json,2718,current,2,
frontend/pages/_app.tsx,Code,.tsx,4071,current,3,
frontend/pages/api/ai/recommendations.ts,Code,.ts,1159,current,4,
frontend/pages/api/ai/suggest-strategy.ts,Code,.ts,11996,current,1,
frontend/pages/api/chat.ts,Code,.ts,1892,current,6,
frontend/pages/api/market/historical.ts,Code,.ts,6036,current,2,
frontend/pages/api/market/options-chain.ts,Code,.ts,7833,current,1,
frontend/pages/api/pnl/calculate-theoretical.ts,Code,.ts,7673,current,1,
frontend/pages/api/pnl/comparison/[positionId].ts,Code,.ts,3202,current,12,
frontend/pages/api/pnl/track-position.ts,Code,.ts,5721,current,1,
frontend/pages/api/proposals/[id]/approve.ts,Code,.ts,1461,current,2,
frontend/pages/api/proposals/[id]/reject.ts,Code,.ts,1317,current,2,
frontend/pages/api/proposals/[id]/reprice.ts,Code,.ts,1726,current,1,
frontend/pages/api/proposals/index.ts,Code,.ts,3140,current,7,
frontend/pages/api/proxy/[...path].ts,Code,.ts,10194,current,11,
frontend/pages/api/strategies/[strategyId]/versions.ts,Code,.ts,2998,current,3,
frontend/pages/api/strategies/index.ts,Code,.ts,5461,current,7,
frontend/pages/index.tsx,Code,.tsx,21576,current,7,
frontend/render.yaml,Code,.yaml,645,current,2,
frontend/scripts/start-server.sh,Code,.sh,2098,current,2,
frontend/services/telemetry.ts,Code,.ts,6432,current,4,
frontend/styles/logoConstants.ts,Code,.ts,3883,current,3,
frontend/styles/paiid-theme.ts,Code,.ts,1963,current,3,
frontend/styles/theme.ts,Code,.ts,2471,current,3,
frontend/tests/fixtures/options.ts,Code,.ts,6051,current,4,
frontend/tests/global-setup.ts,Code,.ts,3432,current,2,
frontend/tests/global-teardown.ts,Code,.ts,2969,current,2,
frontend/tsconfig.json,Code,.json,677,current,1,
frontend/types/pnl.ts,Code,.ts,3138,current,4,
frontend/types/profile.ts,Code,.ts,7356,current,4,
frontend/utils/indicators.ts,Code,.ts,7937,current,3,
package.json,Code,.json,104,current,2,
render.yaml,Code,.yaml,3172,current,2,
CLAUDE.md,Documentation,.md,12124,current,2,
DEPLOYMENT_STATUS.md,Documentation,.md,11263,current,1,Matches redundancy pattern
ISSUE_TRACKER.md,Documentation,.md,19705,current,2,
OPERATIONS.md,Documentation,.md,8423,current,1,
SECURITY.md,Documentation,.md,5942,current,2,
TODO.md,Documentation,.md,5468,current,3,
backend/requirements.txt,Documentation,.txt,1469,current,2,
extensions.txt,Documentation,.txt,3184,current,1,
frontend/DEVELOPMENT.md,Documentation,.md,6205,current,2,
